Threads: [{'140352945166080': 0, '140352953558784': 1}]
['STORE', '0x7fa670003f78', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003cd0', -1, 0, '107']
['STORE', '0x7fa668003cd8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003fd0', -1, 1, '107']
['STORE', '0x7fa670003fd8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003d30', -1, 0, '107']
['STORE', '0x7fa668003d38', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670004030', -1, 1, '107']
['STORE', '0x7fa670004038', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003d90', -1, 0, '107']
['STORE', '0x7fa668003d98', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003df0', -1, 0, '107']
['STORE', '0x7fa668003df8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003e50', -1, 0, '107']
['STORE', '0x7fa668003e58', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003eb0', -1, 0, '107']
['STORE', '0x7fa668003eb8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003f10', -1, 0, '107']
['STORE', '0x7fa668003f18', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003f70', -1, 0, '107']
['STORE', '0x7fa668003f78', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003fd0', -1, 0, '107']
['STORE', '0x7fa668003fd8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa6700072d0', '0x7fa668003fd0', 1, '276']
['STORE', '0x7fa6700072d8', '0x7fa6700072d0', 1, '277']
['STORE', '0x7fa670004038', '0x7fa6700072d8', 1, '278']
['STORE', '0x7fa668004030', -1, 0, '107']
['STORE', '0x7fa668004038', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668004038', -1, 1, '237']
['STORE', '0x7fa668003fd8', -1, 1, '237']
['STORE', '0x7fa668003f78', -1, 1, '237']
['STORE', '0x7fa668003f18', -1, 1, '237']
['STORE', '0x7fa668003eb8', -1, 1, '237']
['STORE', '0x7fa668003e58', -1, 1, '237']
['STORE', '0x7fa668003df8', -1, 1, '237']
['STORE', '0x7fa668003d98', -1, 1, '237']
['STORE', '0x7fa670004038', -1, 1, '237']
['STORE', '0x7fa6700072d8', -1, 1, '237']
['STORE', '0x7fa668003d38', -1, 1, '237']
['STORE', '0x7fa670003fd8', -1, 1, '237']
['STORE', '0x7fa668003cd8', -1, 1, '237']
['STORE', '0x7fa670003f78', -1, 1, '237']
['STORE', '0x7fa670003f18', -1, 1, '237']
['STORE', '0x7fa668003c78', -1, 1, '237']
['STORE', '0x7fa670003eb8', -1, 1, '237']
['STORE', '0x7fa668003c18', -1, 1, '237']
['STORE', '0x7fa668003bb8', -1, 1, '237']
['STORE', '0x7fa670003e58', -1, 1, '237']
['STORE', '0x7fa668003b58', -1, 1, '237']
['STORE', '0x7fa670003df8', -1, 1, '237']
['STORE', '0x7fa670003d98', -1, 1, '237']
['STORE', '0x7fa668003af8', -1, 1, '237']
['STORE', '0x7fa670003d38', -1, 1, '237']
['STORE', '0x7fa668003a98', -1, 1, '237']
['STORE', '0x7fa670003cd8', -1, 1, '237']
['STORE', '0x7fa670003c78', -1, 1, '237']
['STORE', '0x7fa668003a38', -1, 1, '237']
['STORE', '0x7fa670003c18', -1, 1, '237']
['STORE', '0x7fa6680039d8', -1, 1, '237']
['STORE', '0x7fa670003bb8', -1, 1, '237']
['STORE', '0x7fa670003b58', -1, 1, '237']
['STORE', '0x7fa668003978', -1, 1, '237']
['STORE', '0x7fa668003918', -1, 1, '237']
['STORE', '0x7fa670003af8', -1, 1, '237']
['STORE', '0x7fa6680038b8', -1, 1, '237']
['STORE', '0x7fa670003a98', -1, 1, '237']
['STORE', '0x7fa670003a38', -1, 1, '237']
['STORE', '0x7fa668003858', -1, 1, '237']
['STORE', '0x7fa6700039d8', -1, 1, '237']
['STORE', '0x7fa670003978', -1, 1, '237']
['STORE', '0x7fa6680037f8', -1, 1, '237']
['STORE', '0x7fa670003918', -1, 1, '237']
['STORE', '0x7fa668003798', -1, 1, '237']
['STORE', '0x7fa6700038b8', -1, 1, '237']
['STORE', '0x7fa668003738', -1, 1, '237']
['STORE', '0x7fa670003858', -1, 1, '237']
['STORE', '0x7fa6680036d8', -1, 1, '237']
['STORE', '0x7fa6700037f8', -1, 1, '237']
['STORE', '0x7fa670003798', -1, 1, '237']
['STORE', '0x7fa668003678', -1, 1, '237']
['STORE', '0x7fa668003618', -1, 1, '237']
['STORE', '0x7fa670003738', -1, 1, '237']
['STORE', '0x7fa6700036d8', -1, 1, '237']
['STORE', '0x7fa6680035b8', -1, 1, '237']
['STORE', '0x7fa670003678', -1, 1, '237']
['STORE', '0x7fa668003558', -1, 1, '237']
['STORE', '0x7fa670003618', -1, 1, '237']
['STORE', '0x7fa6680034f8', -1, 1, '237']
['STORE', '0x7fa6700035b8', -1, 1, '237']
['STORE', '0x7fa670003558', -1, 1, '237']
['STORE', '0x7fa668003498', -1, 1, '237']
['STORE', '0x7fa6700034f8', -1, 1, '237']
['STORE', '0x7fa670003498', -1, 1, '237']
['STORE', '0x7fa668003438', -1, 1, '237']
['STORE', '0x7fa6680033d8', -1, 1, '237']
['STORE', '0x7fa668003378', -1, 1, '237']
['STORE', '0x7fa668003318', -1, 1, '237']
['STORE', '0x7fa670003438', -1, 1, '237']
['STORE', '0x7fa6700033d8', -1, 1, '237']
['STORE', '0x7fa6680032b8', -1, 1, '237']
['STORE', '0x7fa670003378', -1, 1, '237']
['STORE', '0x7fa668003258', -1, 1, '237']
['STORE', '0x7fa670003318', -1, 1, '237']
['STORE', '0x7fa6680031f8', -1, 1, '237']
['STORE', '0x7fa668003198', -1, 1, '237']
['STORE', '0x7fa6700032b8', -1, 1, '237']
['STORE', '0x7fa668003138', -1, 1, '237']
['STORE', '0x7fa670003258', -1, 1, '237']
['STORE', '0x7fa6680030d8', -1, 1, '237']
['STORE', '0x7fa668003078', -1, 1, '237']
